id,id_izdelka,Lupek Velenje Center,Lupek Celje Jug,Lupek Ljubljana BTC,Lupek Maribor Center,Lupek Koper,Lupek Novo Mesto,Lupek Kranj,Lupek Murska Sobota,Lupek Nova Gorica,Lupek Ptuj
68,3831000001288,49,40,15,38,14,53,24,37,44,27
69,3831000001585,54,32,45,20,38,22,51,19,29,51
70,3831000002421,31,30,20,17,45,21,53,18,46,46
71,3831000003404,29,20,29,39,51,47,49,17,21,34
72,3831000004630,13,50,32,27,37,31,43,18,23,25
73,3831000000427,37,23,26,45,26,20,46,28,49,37
74,3831000000656,53,32,29,55,12,41,51,54,33,27
75,3831000002254,29,44,32,21,51,22,17,21,41,45
76,3831000000557,13,32,50,40,54,53,54,20,30,30
77,3831000003053,35,45,39,35,50,51,48,47,34,17
78,3831000002117,41,44,29,13,32,30,41,18,40,34
79,3831000002513,17,45,51,52,20,23,21,40,35,20
80,3831000003114,42,29,39,45,27,50,33,39,34,40
81,3831000003282,47,29,40,13,20,29,33,53,53,38
82,3831000002681,12,36,45,40,32,44,51,39,55,34
83,3831000000380,28,18,14,28,23,13,14,47,13,37
84,3831000004180,29,41,55,29,47,22,53,33,43,30
85,3831000002384,14,32,42,28,54,53,23,52,16,35
86,3831000003688,28,35,23,52,44,22,50,40,39,32
87,3831000000717,23,45,22,21,44,17,31,26,25,18
88,3831000003619,35,54,15,36,40,12,53,14,48,19
89,3831000001516,31,41,15,27,12,29,54,55,36,52
90,3831000002803,37,33,23,53,46,45,17,44,36,48
91,3831000001905,32,20,37,52,16,31,52,31,46,37
92,3831000002780,22,20,24,28,22,44,21,36,14,50
93,3831000001639,39,21,25,16,29,50,36,27,21,19
94,3831000003633,43,18,33,40,13,19,32,38,39,29
95,3831000000434,52,23,34,40,20,42,36,54,47,22
96,3831000003831,55,49,39,51,52,37,38,42,51,40
97,3831000003534,32,22,51,23,12,42,39,49,49,53
98,3831000002438,40,55,54,36,47,17,26,43,55,23
99,3831000002735,23,25,12,55,24,55,28,51,39,50
100,3831000004012,49,32,40,52,34,51,33,18,19,17
101,3831000001318,43,52,40,21,49,33,46,39,37,14
102,3831000003442,12,43,52,16,51,14,18,29,22,47
103,3831000003862,33,53,44,26,33,18,47,40,14,50
104,3831000001561,50,34,18,36,25,34,35,52,33,22
105,3831000004357,36,45,17,39,33,25,13,31,32,45
106,3831000003152,23,15,22,16,37,17,39,35,26,32
107,3831000004951,42,16,37,33,30,52,24,30,20,16
108,3831000002575,22,35,38,42,48,55,21,40,51,22
109,3831000002087,29,28,15,29,46,52,55,25,19,21
110,3831000000182,12,34,38,28,13,37,52,24,42,30
111,3831000004982,22,15,29,29,24,43,23,29,18,52
112,3831000003381,19,33,17,14,35,24,31,18,40,55
113,3831000001783,53,29,12,13,35,30,26,36,43,42
114,3831000004975,12,33,22,25,37,18,35,52,29,27
115,3831000002278,19,47,45,33,38,34,30,16,34,55
116,3831000002476,21,54,43,49,50,42,50,27,29,47
117,3831000000472,45,47,48,27,24,52,47,49,24,41
118,3831000001479,27,38,36,47,36,46,21,53,50,48
119,3831000001080,41,37,17,38,48,38,54,45,47,31
120,3831000000083,45,48,36,42,45,15,44,43,29,32
121,3831000001486,54,20,21,12,38,19,28,43,52,40
122,3831000002285,13,53,24,18,39,21,14,31,16,34
123,3831000003749,26,13,21,15,12,23,47,47,21,50
124,3831000000045,24,40,38,36,24,53,19,14,32,20
125,3831000004548,19,52,18,26,30,36,40,37,22,25
126,3831000004845,47,14,18,27,33,21,52,18,26,17
127,3831000001844,48,44,31,32,34,52,16,44,41,38
128,3831000002049,41,20,39,35,13,14,15,55,46,36
129,3831000002148,41,37,33,32,25,51,33,51,27,31
130,3831000004777,32,19,40,12,49,51,45,46,41,12
131,3831000000977,35,19,14,26,43,26,13,40,19,27
132,3831000002377,31,42,27,45,23,39,32,34,17,20
133,3831000003572,28,28,51,40,23,51,16,24,36,20
134,3831000003909,17,23,40,46,46,17,43,14,29,20
135,3831000001806,22,16,29,29,53,29,12,38,54,16
136,3831000003206,35,53,21,20,46,27,32,35,19,23
137,3831000001103,36,27,48,14,20,27,50,36,52,16
138,3831000002605,29,43,19,45,39,46,41,46,30,55
139,3831000003947,15,47,48,46,44,23,17,13,44,33
140,3831000000946,30,25,42,31,45,24,42,13,31,15
141,3831000004111,26,34,25,17,22,29,35,12,34,27
142,3831000000410,25,21,55,30,34,16,44,36,39,18
143,3831000002001,17,13,27,21,55,54,52,36,39,23
144,3831000003602,22,39,24,36,48,24,27,39,45,50
145,3831000001301,15,30,28,33,53,36,36,50,45,23
146,3831000004302,52,50,12,39,54,45,49,45,39,12
147,3831000001004,51,41,25,14,14,21,35,22,16,46
148,3831000001509,51,37,29,40,27,31,47,52,46,41
149,3831000003886,47,52,20,52,38,14,23,17,21,50
150,3831000000984,55,52,17,27,43,30,38,34,53,33
151,3831000000281,24,54,18,41,43,54,27,33,55,39
152,3831000002124,51,35,22,15,24,52,42,12,50,16
153,3831000004227,40,20,26,30,40,55,42,17,30,55
154,3831000002568,16,14,55,55,36,31,42,15,22,45
155,3831000002469,37,17,33,15,53,15,54,55,37,25
156,3831000004166,34,38,15,27,29,17,28,17,32,30
157,3831000002162,32,15,14,53,40,47,42,15,55,31
158,3831000003367,13,46,22,25,53,43,33,54,25,21
159,3831000000151,31,23,36,33,31,48,50,50,19,48
160,3831000003558,45,43,42,25,12,42,40,42,34,46
161,3831000004821,30,21,23,22,39,32,24,21,25,43
162,3831000002025,34,46,33,31,36,38,18,49,46,34
163,3831000000823,26,38,13,39,49,54,25,23,37,34
164,3831000001424,14,20,15,20,37,51,13,32,14,45
165,3831000000755,50,33,12,21,32,33,24,55,46,21
166,3831000000359,25,16,43,24,17,45,52,54,53,18
167,3831000002452,31,16,31,50,19,46,53,37,42,43
168,3831000001059,20,17,12,45,26,32,46,39,18,12
169,3831000002155,18,37,53,44,20,42,29,29,41,24
170,3831000003220,55,49,45,29,30,12,16,40,44,37
171,3831000000564,12,50,54,34,30,26,53,43,22,18
172,3831000000960,25,19,50,28,47,12,41,37,54,41
173,3831000002964,12,35,17,34,30,13,44,29,20,45
174,3831000000168,49,17,14,23,35,53,36,34,34,52
175,3831000002261,18,27,31,26,19,44,16,30,32,23
176,3831000000762,23,34,50,15,22,23,23,49,25,47
177,3831000002360,28,13,25,27,27,16,34,48,45,20
178,3831000002865,19,13,36,48,26,38,28,36,54,43
179,3831000002766,43,45,13,51,52,16,30,30,41,22
180,3831000004296,14,25,37,23,48,35,51,25,43,29
181,3831000002889,28,49,45,34,43,33,27,32,40,27
182,3831000003084,49,24,51,15,36,41,35,36,21,39
183,3831000000687,55,30,44,45,27,39,33,21,25,46
184,3831000000588,20,26,51,38,32,48,17,55,21,32
185,3831000002483,12,43,28,12,25,48,37,48,16,54
186,3831000000786,38,46,50,36,40,43,40,49,30,41
187,3831000003787,14,51,48,36,45,21,29,31,48,51
188,3831000001110,36,28,35,43,51,13,47,15,47,42
189,3831000000519,19,34,51,21,35,50,24,34,45,50
190,3831000000571,34,41,23,32,38,24,45,36,27,32
191,3831000004876,39,47,38,18,20,30,53,44,26,34
192,3831000001974,19,51,37,34,28,14,25,43,21,37
193,3831000000403,54,13,31,52,14,55,21,18,44,19
194,3831000000106,18,36,19,14,47,17,24,43,18,52
195,3831000004616,14,46,34,22,48,20,43,25,33,49
196,3831000004210,26,33,42,18,31,31,35,37,45,50
197,3831000003213,48,54,43,17,50,26,45,25,54,34
198,3831000002216,31,20,30,45,31,38,44,35,19,32
199,3831000004418,30,39,49,25,27,33,40,20,51,30
200,3831000004814,27,29,26,55,55,21,33,32,30,12
201,3831000000915,13,47,35,18,40,55,18,32,52,19
202,3831000001073,30,50,52,43,40,14,17,33,25,46
203,3831000002971,51,45,45,23,52,46,27,45,41,48
204,3831000002773,19,51,20,35,25,18,31,53,54,25
205,3831000004272,44,14,29,15,12,18,26,38,41,28
206,3831000000274,21,19,46,21,48,40,47,51,31,41
207,3831000003176,15,23,52,45,34,21,55,29,14,26
208,3831000003145,13,35,37,43,41,47,25,54,47,51
209,3831000004340,24,20,37,30,54,25,35,24,36,15
210,3831000003978,55,17,48,22,29,49,39,30,27,12
211,3831000002070,47,25,43,43,41,21,54,37,38,20
212,3831000001677,41,50,49,27,19,44,44,12,27,13
213,3831000002179,50,36,31,39,30,42,43,20,15,36
214,3831000003985,36,47,49,43,12,43,31,12,44,43
215,3831000003589,52,49,36,27,38,49,31,37,47,32
216,3831000003480,46,54,12,33,45,48,36,41,27,55
217,3831000004685,19,54,48,15,44,55,12,24,24,41
218,3831000000441,13,41,12,13,24,21,29,31,34,27
219,3831000002346,13,32,55,12,51,46,54,36,16,17
220,3831000000649,52,15,37,32,52,49,41,33,37,55
221,3831000001332,13,25,48,38,19,18,16,29,18,40
222,3831000004937,52,43,50,23,15,36,54,55,19,45
223,3831000004579,13,40,28,24,43,28,33,42,48,33
224,3831000004470,26,50,13,28,35,15,54,53,32,46
225,3831000003275,49,44,24,44,36,54,40,21,30,31
226,3831000001172,23,23,16,29,36,38,49,35,29,44
227,3831000003077,53,41,51,39,21,35,48,42,32,41
228,3831000000854,24,17,15,48,27,21,51,44,19,20
229,3831000001455,36,45,40,34,25,32,15,27,12,28
230,3831000002650,29,24,31,54,26,43,14,44,44,32
231,3831000000830,43,40,17,32,28,33,32,42,51,28
232,3831000001837,34,26,24,47,36,24,13,28,30,19
233,3831000000243,50,22,42,23,43,22,27,31,39,40
234,3831000000748,18,26,40,31,48,17,20,34,12,14
235,3831000004944,22,47,36,27,40,40,16,37,35,47
236,3831000004647,35,44,36,15,38,53,15,37,49,16
237,3831000003640,44,38,37,47,49,19,12,46,18,27
238,3831000002988,44,41,19,25,31,16,35,28,14,51
239,3831000004784,24,48,49,17,37,16,29,32,50,34
240,3831000000267,16,13,15,46,15,50,40,37,31,48
241,3831000001165,39,22,24,24,18,27,49,45,17,44
242,3831000000373,17,38,15,27,44,50,49,35,51,38
243,3831000004913,12,50,31,55,43,39,19,43,13,14
244,3831000000212,23,55,52,16,14,22,53,38,47,14
245,3831000002018,38,27,47,19,49,36,22,12,39,46
246,3831000002711,30,43,27,37,14,19,14,48,54,32
247,3831000001790,34,51,46,44,53,23,34,16,32,32
248,3831000004197,21,28,38,24,48,35,22,46,21,40
249,3831000001998,47,44,17,53,23,17,27,16,26,29
250,3831000002308,18,43,17,37,15,51,35,14,20,26
251,3831000004807,14,48,47,13,47,48,24,30,13,26
252,3831000003107,30,41,14,55,29,53,14,44,20,54
253,3831000003060,28,46,35,38,39,40,32,35,54,22
254,3831000000366,51,53,22,48,35,47,20,22,36,25
255,3831000004128,36,12,24,13,34,38,40,38,54,19
256,3831000001929,24,38,44,49,55,44,34,45,51,42
257,3831000003626,39,20,28,25,16,44,12,27,16,52
258,3831000004524,41,23,12,17,52,28,35,39,36,47
259,3831000003824,32,47,49,49,19,50,37,48,12,44
260,3831000002506,18,24,19,27,40,42,36,48,23,23
261,3831000002100,41,21,31,26,30,14,30,32,24,27
262,3831000000700,23,41,47,26,31,23,19,43,30,40
263,3831000000205,49,33,46,18,44,31,31,45,32,46
264,3831000003343,49,12,50,44,16,46,20,47,38,35
265,3831000002544,28,40,12,34,13,48,19,50,55,21
266,3831000000540,31,34,55,23,34,33,15,33,23,21
267,3831000004838,20,51,39,17,30,51,26,37,12,33
268,3831000004739,46,34,37,51,13,47,42,32,24,38
269,3831000001936,55,40,44,23,55,26,40,43,16,43
270,3831000003008,31,52,47,52,15,22,39,42,51,51
271,3831000002407,39,47,20,43,41,46,28,22,40,13
272,3831000001851,52,55,30,39,42,44,25,48,27,50
273,3831000000458,18,44,21,54,46,48,27,38,29,32
274,3831000003930,43,54,42,37,55,38,22,21,13,21
275,3831000000137,50,16,36,48,25,38,52,42,18,36
276,3831000002339,49,54,39,46,22,30,40,49,41,51
277,3831000000335,24,12,42,51,38,41,34,48,48,28
278,3831000004135,19,48,15,47,19,44,45,40,35,37
279,3831000000236,45,47,33,28,36,18,42,24,12,33
280,3831000003954,40,51,18,47,43,29,25,46,55,41
281,3831000003350,22,30,34,17,17,38,17,45,41,18
282,3831000000014,15,33,41,55,27,49,26,42,18,53
283,3831000001615,12,38,51,33,22,44,28,40,53,33
284,3831000003510,20,41,16,14,41,24,50,17,22,37
285,3831000002315,44,47,40,46,39,17,49,53,23,30
286,3831000000618,33,30,25,39,40,22,22,20,51,16
287,3831000004388,39,51,44,29,29,28,39,54,21,15
288,3831000004395,21,15,26,50,39,15,42,22,34,20
289,3831000001523,55,53,44,32,19,19,34,32,46,39
290,3831000003121,41,36,51,45,45,23,42,49,52,48
291,3831000002827,34,20,12,52,48,32,48,41,26,47
292,3831000000052,51,53,42,14,54,42,26,12,52,49
293,3831000002674,51,20,36,42,24,31,49,27,31,19
294,3831000000878,21,45,18,45,26,21,27,41,44,13
295,3831000000076,28,12,40,50,23,28,50,24,30,37
296,3831000001370,14,35,19,33,46,26,12,46,51,31
297,3831000000779,30,30,32,52,41,43,55,53,49,47
298,3831000004531,53,44,15,48,54,40,23,41,35,16
299,3831000001646,33,35,17,39,29,35,25,51,53,52
300,3831000003848,16,16,54,44,31,12,12,31,27,35
301,3831000001042,32,45,48,13,28,46,48,13,22,45
302,3831000002742,46,41,35,42,29,50,32,42,24,22
303,3831000000670,42,24,55,47,53,35,25,25,18,52
304,3831000003138,52,13,33,31,46,19,30,15,19,37
305,3831000001738,32,47,22,38,48,46,20,37,54,30
306,3831000000939,22,45,12,14,55,50,17,44,17,42
307,3831000003961,37,27,55,29,25,52,30,26,48,27
308,3831000004661,32,45,13,34,27,46,16,52,41,49
309,3831000000038,44,49,53,45,12,22,31,18,49,36
310,3831000003732,33,23,54,38,16,18,38,24,25,13
311,3831000002131,38,55,38,18,14,36,34,43,15,35
312,3831000002537,49,16,49,48,25,40,40,16,35,28
313,3831000001233,13,14,38,12,50,37,31,36,38,53
314,3831000002834,28,25,47,53,30,23,55,46,44,35
315,3831000001127,43,20,14,26,41,27,46,41,14,41
316,3831000004609,20,32,37,24,37,19,55,37,39,13
317,3831000004500,15,31,27,37,20,43,29,51,12,35
318,3831000004708,45,28,38,30,20,53,48,47,52,52
319,3831000002940,22,31,27,19,45,20,49,40,42,24
320,3831000004449,53,20,46,23,19,36,20,12,42,55
321,3831000003992,27,46,39,48,32,23,22,39,20,20
322,3831000002193,53,13,45,12,37,13,16,47,48,37
323,3831000004760,53,45,53,37,12,44,45,45,32,32
324,3831000003169,13,21,40,13,41,31,44,48,22,54
325,3831000001868,20,38,23,47,30,18,28,33,24,53
326,3831000001066,45,51,53,55,29,45,37,18,17,41
327,3831000002759,52,22,55,16,45,27,45,50,45,34
328,3831000004654,32,45,46,53,28,49,49,27,33,17
329,3831000001653,26,24,18,38,22,48,24,35,43,24
330,3831000002322,19,22,43,17,18,23,39,20,53,12
331,3831000004623,18,39,33,34,25,36,49,22,50,17
332,3831000000724,54,18,44,26,37,13,27,31,19,39
333,3831000000250,51,24,45,39,45,28,29,40,29,34
334,3831000003657,45,24,38,44,13,19,46,19,45,17
335,3831000000632,16,44,17,31,20,15,52,38,32,25
336,3831000001707,52,23,37,12,55,53,18,45,36,42
337,3831000000342,45,20,51,30,24,48,13,45,47,50
338,3831000004142,21,33,33,46,38,27,24,30,15,27
339,3831000002247,18,18,38,18,48,41,54,30,34,54
340,3831000001240,35,37,33,26,39,36,42,40,22,36
341,3831000002445,53,51,29,55,38,37,34,27,14,36
342,3831000003541,21,31,29,30,40,48,34,12,28,16
343,3831000001547,20,51,37,25,53,51,19,45,41,30
344,3831000001448,28,37,50,25,38,32,17,41,48,15
345,3831000001745,38,43,44,55,35,46,47,53,21,15
346,3831000004746,34,24,26,45,20,20,37,30,43,16
347,3831000000489,53,22,16,36,38,45,18,44,17,46
348,3831000004487,45,35,38,46,20,42,41,26,16,32
349,3831000003183,44,24,12,53,24,18,49,21,42,32
350,3831000000144,12,37,45,48,24,20,13,31,40,15
351,3831000003046,44,34,36,42,51,26,33,19,51,27
352,3831000004241,16,30,15,26,34,40,55,36,14,31
353,3831000002643,39,49,18,31,45,45,37,12,25,27
354,3831000002841,53,43,28,40,13,49,14,24,27,51
355,3831000004869,30,48,12,39,49,32,51,15,47,33
356,3831000004265,33,21,33,19,29,39,43,47,26,24
357,3831000004463,24,50,31,53,37,21,24,38,17,45
358,3831000001660,51,53,52,33,39,31,43,47,52,49
359,3831000001264,38,51,34,33,15,26,34,37,52,42
360,3831000001493,47,32,47,27,26,45,12,17,25,53
361,3831000002698,35,54,25,41,51,42,45,24,26,15
362,3831000004593,12,14,33,26,17,12,25,26,35,34
363,3831000001691,19,13,39,38,55,26,16,39,14,45
364,3831000004890,27,31,20,51,41,27,47,23,18,48
365,3831000004333,29,43,46,25,34,45,45,15,44,32
366,3831000003237,55,27,31,28,22,27,35,31,39,49
367,3831000001011,48,51,42,47,51,26,21,30,24,22
368,3831000004517,23,13,46,41,42,34,14,37,33,22
369,3831000003718,42,18,19,51,35,36,19,30,22,25
370,3831000003244,32,15,25,17,43,40,39,28,54,51
371,3831000001943,20,16,45,39,13,24,38,51,44,54
372,3831000001202,43,15,16,55,18,18,23,35,53,28
373,3831000002704,44,51,23,26,31,19,21,27,16,45
374,3831000001608,16,44,21,44,42,28,30,50,17,14
375,3831000004562,28,33,50,12,37,31,45,39,23,15
376,3831000002667,37,19,23,16,40,16,36,52,32,46
377,3831000001363,48,40,26,14,39,35,45,53,29,12
378,3831000004920,27,17,24,19,19,41,42,26,16,44
379,3831000001226,33,13,30,36,54,39,28,52,54,55
380,3831000000120,45,16,16,55,38,51,27,17,50,25
381,3831000004203,37,29,39,28,54,50,25,32,20,29
382,3831000005002,43,37,41,41,38,39,48,23,50,24
383,3831000002636,52,36,44,49,15,43,46,12,25,31
384,3831000000533,37,32,36,14,24,36,35,43,52,36
385,3831000000731,20,28,17,54,38,52,27,39,53,27
386,3831000004432,41,44,43,20,38,24,52,33,27,35
387,3831000003503,39,22,16,48,19,41,52,28,14,50
388,3831000002209,49,13,47,52,13,49,15,18,19,42
389,3831000004906,51,33,38,50,34,42,18,53,17,53
390,3831000001400,54,39,20,54,30,38,16,41,14,26
391,3831000002230,27,13,41,23,50,32,36,50,22,54
392,3831000004036,47,23,17,48,44,17,50,22,40,14
393,3831000001134,44,16,34,39,15,32,16,51,46,31
394,3831000003374,41,45,27,16,35,29,22,16,16,24
395,3831000003268,23,53,18,18,32,47,21,47,33,20
396,3831000000861,48,19,47,22,55,48,54,32,29,15
397,3831000003459,21,13,45,44,19,24,41,27,15,32
398,3831000004289,28,48,13,16,49,34,34,23,25,37
399,3831000001387,28,37,25,26,36,29,51,14,51,28
400,3831000001349,54,49,54,48,46,46,16,48,38,30
401,3831000004692,42,13,20,22,37,22,43,23,17,41
402,3831000004791,24,40,39,50,50,16,12,51,30,22
403,3831000004999,39,51,46,29,27,38,50,34,19,36
404,3831000002858,20,23,35,31,15,39,12,24,32,38
405,3831000002551,35,32,46,22,47,21,37,48,51,21
406,3831000001356,38,24,34,26,16,43,36,47,50,33
407,3831000001875,22,53,26,53,34,17,27,15,46,50
408,3831000000908,27,17,29,17,49,18,51,29,39,31
409,3831000002902,17,19,16,26,55,49,47,41,18,48
410,3831000003800,21,40,12,51,32,25,43,40,43,24
411,3831000003695,51,27,18,39,54,24,44,22,35,45
412,3831000001097,32,52,39,53,46,38,33,43,19,40
413,3831000003299,47,40,52,33,29,26,32,18,53,29
414,3831000000991,26,29,49,44,32,55,15,19,23,27
415,3831000002094,42,39,52,23,17,15,39,35,14,46
416,3831000004098,16,33,24,32,13,45,39,46,44,46
417,3831000003893,41,22,50,51,12,54,24,46,34,41
418,3831000003091,54,34,50,29,30,45,40,36,19,37
419,3831000000397,34,18,49,16,21,21,30,17,36,32
420,3831000000199,46,51,53,53,36,14,22,50,25,18
421,3831000000793,53,40,53,50,43,21,46,38,35,17
422,3831000001592,22,27,38,44,49,45,53,23,15,12
423,3831000004494,13,21,49,55,33,51,28,30,15,47
424,3831000001295,33,14,37,40,28,29,46,50,16,34
425,3831000000298,22,27,22,41,37,39,39,15,39,27
426,3831000003596,20,13,26,20,43,49,38,39,34,47
427,3831000000892,25,49,38,48,53,15,31,33,47,54
428,3831000000090,43,15,23,29,47,25,14,17,54,41
429,3831000002391,55,33,28,34,47,29,14,48,32,13
430,3831000000694,51,49,18,51,23,37,21,37,14,36
431,3831000002896,29,15,15,38,15,17,47,13,55,25
432,3831000000595,31,19,39,55,45,37,41,32,43,38
433,3831000003497,17,50,49,50,34,27,18,28,40,42
434,3831000001899,37,23,27,34,23,50,23,49,27,12
435,3831000002599,41,37,20,16,21,14,14,52,45,42
436,3831000001196,38,32,54,42,22,39,54,27,42,55
437,3831000000496,43,12,40,14,31,33,51,55,19,13
438,3831000002490,21,45,13,48,47,16,24,39,23,37
439,3831000003794,19,50,51,46,25,17,43,12,21,30
440,3831000002292,14,31,36,23,31,46,36,53,21,43
441,3831000001394,48,31,16,40,21,50,27,19,29,32
442,3831000002995,32,50,53,54,25,29,30,45,28,41
443,3831000003398,15,42,38,44,33,47,34,54,48,45
444,3831000002797,42,23,36,30,15,49,54,24,15,48
445,3831000003190,42,55,53,16,45,41,35,25,45,33
446,3831000000465,12,26,54,55,18,40,27,43,32,19
447,3831000004081,51,47,22,55,39,35,53,19,48,35
448,3831000004586,26,49,13,12,46,38,51,30,51,29
449,3831000002520,41,42,19,21,16,40,40,53,39,50
450,3831000001325,39,20,46,55,47,30,52,15,20,48
451,3831000000922,25,31,54,42,41,24,50,35,20,54
452,3831000003923,18,16,21,17,45,14,34,36,49,40
453,3831000004722,38,54,42,48,55,28,37,12,48,27
454,3831000000021,15,24,42,42,33,25,17,24,53,32
455,3831000002629,20,39,44,20,19,29,35,21,50,28
456,3831000000526,19,37,15,33,47,30,45,40,51,12
457,3831000004425,26,20,21,16,19,41,28,31,52,33
458,3831000000625,41,22,13,14,35,37,13,32,26,41
459,3831000004326,23,36,41,52,35,18,21,28,20,22
460,3831000000328,23,47,47,38,52,32,32,50,21,44
461,3831000003336,18,26,36,14,42,16,14,37,42,35
462,3831000003039,48,41,23,47,49,28,30,15,51,25
463,3831000004234,55,37,35,23,12,51,27,55,13,28
464,3831000002032,14,51,32,25,53,23,29,16,35,41
465,3831000001035,41,14,30,22,20,44,18,23,43,27
466,3831000001530,42,12,36,55,12,17,22,23,30,42
467,3831000000311,36,44,15,36,18,23,19,21,16,24
468,3831000002919,23,49,35,25,49,29,28,46,16,47
469,3831000004319,49,54,14,42,49,43,30,19,35,43
470,3831000001219,22,42,30,29,39,34,26,43,34,41
471,3831000004005,55,22,42,25,45,46,45,51,45,27
472,3831000004104,50,24,41,51,37,29,25,15,23,47
473,3831000000601,24,47,16,44,51,48,19,41,29,54
474,3831000003305,54,51,47,50,34,36,47,22,28,45
475,3831000001769,35,17,53,43,25,47,47,46,44,46
476,3831000002063,30,36,22,21,32,50,23,31,19,29
477,3831000000663,34,36,46,37,13,42,33,37,14,32
478,3831000002872,52,13,16,15,19,17,24,53,14,22
479,3831000001776,34,17,41,53,14,47,27,32,50,35
480,3831000001578,23,46,44,22,31,35,52,39,45,20
481,3831000003671,43,38,31,24,26,22,52,33,41,40
482,3831000003879,15,41,38,36,44,53,16,35,12,45
483,3831000004074,31,25,42,31,45,50,41,33,26,40
484,3831000003770,53,34,25,35,38,51,37,46,13,24
485,3831000001271,49,31,18,32,41,42,22,12,55,14
486,3831000004678,49,47,14,48,44,18,32,52,18,24
487,3831000004173,44,30,25,20,53,44,14,20,31,55
488,3831000000175,44,17,54,50,50,30,28,27,18,46
489,3831000001684,12,48,24,17,37,21,28,36,38,23
490,3831000004883,31,42,32,22,30,40,36,22,13,15
491,3831000003565,39,12,35,24,34,52,41,54,20,51
