id,ime,nabavna_cena,prodajna_cena,država_porekla,dobavitelj,id_izdelka
68,Gazirana voda ekstra 200 g,1.82,2.98,Hrvaška,Jadran Export,3831000001288
69,Gazirana voda tradicionalno 300 g,1.83,2.52,Avstrija,Mediteran Import,3831000001585
70,"Gobe šampinjoni bio 1,5 l",3.45,4.14,Madžarska,BioIzbor d.o.o.,3831000002421
71,Gorčica klasično 300 g,3.2,4.61,Avstrija,Zlato Polje Distribucija,3831000003404
72,Goveji zrezki družinsko 1 l,3.43,5.13,Slovenija,Zlato Polje Distribucija,3831000004630
73,Grah družinsko 400 g,3.67,4.68,Nizozemska,Pekarna Center,3831000000427
74,Grisini ekstra 1 kg,3.09,4.08,Hrvaška,Gorenje Gastro Nabava,3831000000656
75,"Grisini klasično 1,5 kg",0.89,1.4,Nemčija,Zlato Polje Distribucija,3831000002254
76,"Grisini maxi 1,5 kg",3.91,5.05,Avstrija,Zlato Polje Distribucija,3831000000557
77,Grisini maxi 150 g,1.21,1.81,Nemčija,Pekarna Center,3831000003053
78,Grozdje družinsko 500 g,1.98,2.41,Kolumbija,Okus Narave d.o.o.,3831000002117
79,Grozdje izbrano 750 g,3.61,4.39,Španija,Alpina Delikates,3831000002513
80,Hruške bio 300 g,2.92,3.59,Nizozemska,FreshLine Logistics,3831000003114
81,Instant kava ekstra 750 g,2.91,3.52,Slovenija,Sava Trade Foods,3831000003282
82,Instant kava lahko 500 g,4.36,6.21,Italija,Zlato Polje Distribucija,3831000002681
83,Instant kava maxi 12 x 1 l,0.97,1.28,Slovenija,Terra Verde,3831000000380
84,"Izvirska voda izbrano 6 x 0,5 l",2.93,4.82,Slovenija,Pekarna Center,3831000004180
85,Izvirska voda sveže 2 l,3.39,4.99,Slovenija,EuroTrade Foods,3831000002384
86,Izvirska voda tradicionalno 750 g,3.62,4.75,Nemčija,Terra Verde,3831000003688
87,Jabolka bio 150 g,4.73,6.94,Italija,Okus Narave d.o.o.,3831000000717
88,Jabolka lahko 200 g,2.78,3.65,Turčija,Gorenje Gastro Nabava,3831000003619
89,"Jabolka tradicionalno 6 x 0,5 l",4.37,6.55,Španija,AgroFresh Slovenija,3831000001516
90,Jabolčni kis maxi 400 g,2.43,3.05,Avstrija,Okus Narave d.o.o.,3831000002803
91,Jabolčni kis sveže 2 l,8.39,13.74,Francija,Domača Košara,3831000001905
92,"Jabolčni sok pakirano 6 x 0,5 l",1.44,1.76,Italija,Global Food Partner,3831000002780
93,"Jagnječji kotleti družinsko 1,5 l",10.67,17.31,Slovenija,Pekarna Center,3831000001639
94,"Jagnječji kotleti izbrano 1,5 l",3.01,4.91,Madžarska,Terra Verde,3831000003633
95,"Jagnječji kotleti klasično 1,5 kg",9.12,12.05,Hrvaška,AgroFresh Slovenija,3831000000434
96,Jagnječji kotleti klasično 300 g,7.19,8.74,Hrvaška,Pekarna Center,3831000003831
97,Jagnječji kotleti lahko 2 l,5.24,6.67,Avstrija,Global Food Partner,3831000003534
98,Jagnječji kotleti maxi 250 g,5.88,7.13,Avstrija,EuroTrade Foods,3831000002438
99,Jagnječji kotleti mini 100 g,10.1,13.9,Italija,Alpe Food d.o.o.,3831000002735
100,Jagode bio 1 kg,0.55,0.74,Italija,Zlato Polje Distribucija,3831000004012
101,Jagode brez glutena 12 x 1 l,0.98,1.6,Grčija,Zlato Polje Distribucija,3831000001318
102,Jogurt lahko 2 l,6.59,9.5,Avstrija,Global Food Partner,3831000003442
103,Jušna osnova domače 300 g,2.1,3.41,Nemčija,Sava Trade Foods,3831000003862
104,Jušna osnova izbrano 1 l,1.58,2.01,Madžarska,Mediteran Import,3831000001561
105,"Kajzerice bio 1,5 l",2.72,4.14,Avstrija,Gorenje Gastro Nabava,3831000004357
106,"Kajzerice družinsko 1,5 l",3.52,5.01,Slovenija,Global Food Partner,3831000003152
107,Kajzerice sveže 400 g,3.43,5.17,Nemčija,Alpe Food d.o.o.,3831000004951
108,"Kakav bio 1,5 kg",4.51,7.33,Švica,Okus Narave d.o.o.,3831000002575
109,Kakav napitek domače 750 g,1.09,1.68,Hrvaška,Okus Narave d.o.o.,3831000002087
110,"Kakav napitek premium 1,5 l",2.11,3.48,Nemčija,VitaMarket Dobavitelj,3831000000182
111,Kamilica čaj brez glutena 250 g,1.86,2.73,Madžarska,Mediteran Import,3831000004982
112,Kamilica čaj pakirano 150 g,4.28,6.52,Italija,Terra Verde,3831000003381
113,Kamilica čaj sveže 500 g,3.84,6.17,Češka,Jadran Export,3831000001783
114,Karamela domače 12 x 1 l,0.54,0.65,Italija,Alpe Food d.o.o.,3831000004975
115,"Karamela izbrano 6 x 0,5 l",1.75,2.26,Češka,Mlečna Pot d.o.o.,3831000002278
116,"Karamela lahko 1,5 l",6.43,9.23,Belgija,Panvita Dobava,3831000002476
117,Karamela tradicionalno 1 kg,6.12,7.61,Avstrija,EuroTrade Foods,3831000000472
118,Karamela tradicionalno 250 g,0.59,0.92,Belgija,BioIzbor d.o.o.,3831000001479
119,Kava mleta domače 300 g,0.27,0.39,Italija,Panvita Dobava,3831000001080
120,Kava mleta družinsko 100 g,3.72,4.47,Avstrija,FreshLine Logistics,3831000000083
121,"Kava mleta klasično 1,5 kg",1.42,1.95,Češka,Zlato Polje Distribucija,3831000001486
122,"Kava mleta mini 6 x 0,5 l",2.51,3.29,Hrvaška,Jadran Export,3831000002285
123,Kefir brez glutena 150 g,2.68,4.35,Italija,Zlato Polje Distribucija,3831000003749
124,Kefir družinsko 200 g,5.58,6.6,Nizozemska,Zlato Polje Distribucija,3831000000045
125,Kefir družinsko 500 g,2.38,3.64,Francija,Zlato Polje Distribucija,3831000004548
126,"Kefir izbrano 1,5 kg",0.99,1.56,Nizozemska,Adria Gastro,3831000004845
127,Kefir klasično 2 l,5.07,6.73,Nemčija,VitaMarket Dobavitelj,3831000001844
128,Kefir naravno 1 l,0.96,1.51,Avstrija,Gorenje Gastro Nabava,3831000002049
129,Kefir tradicionalno 100 g,2.46,3.45,Avstrija,Panvita Dobava,3831000002148
130,Keksi z maslom ekstra 100 g,3.1,4.33,Avstrija,AgroFresh Slovenija,3831000004777
131,Keksi z maslom izbrano 12 x 1 l,3.18,4.99,Belgija,Adria Gastro,3831000000977
132,Keksi z maslom maxi 2 l,0.99,1.3,Belgija,EuroTrade Foods,3831000002377
133,Keksi z maslom mini 500 g,3.55,5.59,Avstrija,Panvita Dobava,3831000003572
134,Kečap brez glutena 300 g,8.26,10.02,Francija,Gorenje Gastro Nabava,3831000003909
135,"Kis brez glutena 6 x 0,5 l",1.37,1.67,Avstrija,Mediteran Import,3831000001806
136,Kis mini 300 g,4.04,5.19,Italija,Sava Trade Foods,3831000003206
137,Kis naravno 250 g,5.92,8.29,Grčija,Adria Gastro,3831000001103
138,Kis pakirano 200 g,7.11,9.11,Avstrija,FreshLine Logistics,3831000002605
139,Kisla smetana izbrano 150 g,4.61,6.21,Francija,Domača Košara,3831000003947
140,Kisla smetana izbrano 500 g,2.62,3.62,Nemčija,AgroFresh Slovenija,3831000000946
141,Kivi klasično 2 kg,2.57,3.68,Španija,Alpina Delikates,3831000004111
142,Kivi premium 150 g,2.97,3.56,Italija,Gorenje Gastro Nabava,3831000000410
143,Kokosovo olje maxi 2 l,2.3,3.13,Nemčija,Pekarna Center,3831000002001
144,Kokosovo olje mini 12 x 1 l,0.84,1.2,Grčija,Alpe Food d.o.o.,3831000003602
145,"Kokosovo olje mini 6 x 0,5 l",7.62,9.72,Avstrija,Mediteran Import,3831000001301
146,Kokosovo olje pakirano 400 g,8.24,11.03,Avstrija,Mediteran Import,3831000004302
147,Kokosovo olje sveže 1 l,7.96,10.67,Avstrija,VitaMarket Dobavitelj,3831000001004
148,"Kokosovo olje tradicionalno 1,5 kg",2.81,4.16,Grčija,VitaMarket Dobavitelj,3831000001509
149,"Kola ekstra 1,5 l",1.6,2.48,Italija,EuroTrade Foods,3831000003886
150,Kola naravno 750 g,1.59,2.21,Madžarska,Okus Narave d.o.o.,3831000000984
151,Kola premium 400 g,0.31,0.45,Nemčija,Pekarna Center,3831000000281
152,Korenje bio 1 l,3.3,4.01,Italija,Domača Košara,3831000002124
153,Korenje družinsko 1 l,2.24,3.27,Španija,Adria Gastro,3831000004227
154,Koruzna moka domače 750 g,1.67,2.48,Poljska,Global Food Partner,3831000002568
155,Koruzna moka pakirano 100 g,0.68,0.87,Slovenija,Adria Gastro,3831000002469
156,Koruzna moka pakirano 150 g,3.22,4.05,Francija,Terra Verde,3831000004166
157,"Koruzna moka sveže 6 x 0,5 l",5.55,7.92,Avstrija,BioIzbor d.o.o.,3831000002162
158,Kosmiči premium 1 kg,3.51,4.88,Slovenija,Pekarna Center,3831000003367
159,Krofi domače 150 g,3.19,4.57,Madžarska,Terra Verde,3831000000151
160,Krofi izbrano 12 x 1 l,4.07,6.03,Italija,Okus Narave d.o.o.,3831000003558
161,Krompir bio 150 g,0.81,1.27,Nizozemska,AgroFresh Slovenija,3831000004821
162,Krompir brez glutena 750 g,3.41,4.95,Madžarska,Gorenje Gastro Nabava,3831000002025
163,Krompir ekstra 300 g,3.02,4.77,Madžarska,Alpina Delikates,3831000000823
164,"Krompir maxi 1,5 kg",1.81,2.69,Španija,AgroFresh Slovenija,3831000001424
165,"Kruh s semeni domače 6 x 0,5 l",2.89,4.75,Nemčija,Adria Gastro,3831000000755
166,Kruh s semeni izbrano 1 kg,0.45,0.74,Slovenija,AgroFresh Slovenija,3831000000359
167,Kruh s semeni maxi 12 x 1 l,2.75,4.29,Slovenija,Okus Narave d.o.o.,3831000002452
168,Kruh s semeni pakirano 300 g,1.24,1.53,Avstrija,Adria Gastro,3831000001059
169,Kruh s semeni premium 400 g,4.13,5.04,Madžarska,Zlato Polje Distribucija,3831000002155
170,Kumare izbrano 150 g,2.77,4.04,Italija,Jadran Export,3831000003220
171,Kus kus bio 2 kg,4.24,5.67,Češka,Pekarna Center,3831000000564
172,"Kus kus ekstra 6 x 0,5 l",4.09,5.66,Madžarska,Domača Košara,3831000000960
173,Kus kus lahko 12 x 1 l,4.95,7.55,Slovenija,Mediteran Import,3831000002964
174,"Kus kus tradicionalno 1,5 l",2.31,3.81,Avstrija,Jadran Export,3831000000168
175,Kvinoja bio 2 l,2.33,3.54,Francija,Domača Košara,3831000002261
176,Kvinoja družinsko 2 l,4.73,6.8,Avstrija,Sava Trade Foods,3831000000762
177,Kvinoja družinsko 250 g,5.12,6.09,Nemčija,Mediteran Import,3831000002360
178,Kvinoja izbrano 200 g,4.7,6.92,Italija,Mediteran Import,3831000002865
179,Kvinoja sveže 400 g,3.57,4.74,Poljska,BioIzbor d.o.o.,3831000002766
180,Lazanja naravno 750 g,6.95,9.5,Nemčija,Mlečna Pot d.o.o.,3831000004296
181,"Ledeni čaj družinsko 1,5 l",2.7,3.24,Avstrija,Adria Gastro,3831000002889
182,Ledeni čaj izbrano 300 g,1.81,2.69,Madžarska,AgroFresh Slovenija,3831000003084
183,Ledeni čaj klasično 400 g,2.52,3.5,Avstrija,Jadran Export,3831000000687
184,"Ledeni čaj naravno 6 x 0,5 l",1.95,3.05,Madžarska,Pekarna Center,3831000000588
185,Ledeni čaj pakirano 1 l,4.51,5.42,Češka,Adria Gastro,3831000002483
186,Limonada brez glutena 750 g,3.77,4.86,Italija,Adria Gastro,3831000000786
187,"Limonada premium 1,5 kg",0.64,0.88,Nemčija,Alpina Delikates,3831000003787
188,Limone bio 200 g,4.54,6.38,Italija,Global Food Partner,3831000001110
189,"Limone maxi 6 x 0,5 l",2.85,3.94,Slovenija,EuroTrade Foods,3831000000519
190,Lizike domače 1 kg,2.67,3.2,Češka,Pekarna Center,3831000000571
191,"Lizike pakirano 6 x 0,5 l",5.78,6.91,Italija,FreshLine Logistics,3831000004876
192,Lizike sveže 1 kg,2.44,3.01,Češka,Jadran Export,3831000001974
193,Majoneza bio 750 g,8.45,10.24,Slovenija,Pekarna Center,3831000000403
194,Majoneza ekstra 1 l,2.61,3.41,Nemčija,AgroFresh Slovenija,3831000000106
195,"Maline klasično 1,5 kg",1.23,2.01,Slovenija,Alpina Delikates,3831000004616
196,Maline naravno 2 l,1.17,1.46,Grčija,Mlečna Pot d.o.o.,3831000004210
197,Mandarine brez glutena 1 l,2.26,3.25,Kolumbija,Alpina Delikates,3831000003213
198,Mandarine mini 750 g,3.26,4.5,Nizozemska,Alpe Food d.o.o.,3831000002216
199,Mandarine tradicionalno 2 l,3.13,4.34,Grčija,AgroFresh Slovenija,3831000004418
200,Mango lahko 150 g,0.86,1.06,Španija,EuroTrade Foods,3831000004814
201,Mango maxi 200 g,3.79,4.77,Italija,Zlato Polje Distribucija,3831000000915
202,Marcipan družinsko 300 g,6.38,10.03,Belgija,Pekarna Center,3831000001073
203,Marcipan sveže 400 g,6.49,9.12,Poljska,Adria Gastro,3831000002971
204,Marmelada domače 1 l,3.49,4.29,Italija,Okus Narave d.o.o.,3831000002773
205,Marmelada lahko 200 g,4.61,7.34,Češka,Sava Trade Foods,3831000004272
206,Marmelada mini 1 l,3.02,4.3,Avstrija,Pekarna Center,3831000000274
207,"Marmelada sveže 6 x 0,5 l",4.97,8.09,Belgija,Terra Verde,3831000003176
208,Maslo bio 400 g,5.46,7.9,Nizozemska,Mlečna Pot d.o.o.,3831000003145
209,Maslo naravno 200 g,1,1.35,Slovenija,BioIzbor d.o.o.,3831000004340
210,"Med klasično 6 x 0,5 l",5.09,7.41,Nemčija,BioIzbor d.o.o.,3831000003978
211,"Med maxi 1,5 kg",1.76,2.2,Italija,Zlato Polje Distribucija,3831000002070
212,Med mini 2 l,3.94,5.99,Poljska,EuroTrade Foods,3831000001677
213,Med tradicionalno 300 g,2.7,4.17,Slovenija,Adria Gastro,3831000002179
214,Mineralna voda brez glutena 1 kg,1.68,2.71,Slovenija,EuroTrade Foods,3831000003985
215,"Mineralna voda klasično 1,5 kg",4.41,5.68,Češka,Mediteran Import,3831000003589
216,Mineralna voda sveže 100 g,5.01,6.19,Madžarska,Sava Trade Foods,3831000003480
217,Mineralna voda tradicionalno 2 l,0.32,0.46,Češka,Alpe Food d.o.o.,3831000004685
218,Mleko brez glutena 1 kg,0.87,1.11,Nemčija,Mediteran Import,3831000000441
219,Mleko ekstra 1 kg,5.77,8.57,Nizozemska,Mediteran Import,3831000002346
220,Mleko lahko 100 g,2.73,3.31,Francija,Adria Gastro,3831000000649
221,"Mleto goveje meso mini 1,5 kg",7.33,11.12,Nemčija,VitaMarket Dobavitelj,3831000001332
222,Mleto goveje meso sveže 150 g,4.95,7.74,Italija,Panvita Dobava,3831000004937
223,Mlečna čokolada ekstra 2 l,1.99,2.41,Avstrija,Sava Trade Foods,3831000004579
224,Mlečna čokolada ekstra 400 g,1.12,1.77,Poljska,BioIzbor d.o.o.,3831000004470
225,Mlečna čokolada klasično 200 g,5.36,8.2,Avstrija,Panvita Dobava,3831000003275
226,"Mlečna čokolada klasično 6 x 0,5 l",4.57,6.4,Slovenija,Pekarna Center,3831000001172
227,Mlečna čokolada lahko 2 kg,2.82,4.57,Češka,Sava Trade Foods,3831000003077
228,"Mlečne štručke bio 1,5 l",2.59,3.86,Slovenija,Gorenje Gastro Nabava,3831000000854
229,Mlečne štručke bio 750 g,1.18,1.77,Hrvaška,Pekarna Center,3831000001455
230,Mlečne štručke domače 750 g,0.51,0.7,Madžarska,Sava Trade Foods,3831000002650
231,Mortadela izbrano 150 g,7.23,9.46,Madžarska,Alpe Food d.o.o.,3831000000830
232,Mortadela maxi 100 g,6.63,10.59,Madžarska,Adria Gastro,3831000001837
233,Mozzarella bio 150 g,6.02,9.78,Slovenija,Sava Trade Foods,3831000000243
234,"Mozzarella domače 6 x 0,5 l",0.72,0.93,Nizozemska,EuroTrade Foods,3831000000748
235,"Mozzarella družinsko 1,5 l",2.67,4.2,Nizozemska,Zlato Polje Distribucija,3831000004944
236,Mozzarella izbrano 500 g,6.51,7.89,Italija,FreshLine Logistics,3831000004647
237,Mozzarella maxi 150 g,2.32,3.64,Slovenija,Panvita Dobava,3831000003640
238,Multivitaminski sok brez glutena 400 g,2.93,4.39,Madžarska,VitaMarket Dobavitelj,3831000002988
239,Multivitaminski sok izbrano 300 g,4.33,6.53,Slovenija,Mlečna Pot d.o.o.,3831000004784
240,Müsli lahko 2 l,5.42,8.76,Nemčija,FreshLine Logistics,3831000000267
241,Müsli mini 750 g,1.26,1.59,Italija,Zlato Polje Distribucija,3831000001165
242,Napolitanke klasično 250 g,6.41,8.36,Češka,FreshLine Logistics,3831000000373
243,"Nektarine ekstra 1,5 l",1.63,1.94,Grčija,Alpe Food d.o.o.,3831000004913
244,Nektarine izbrano 2 kg,2.66,3.27,Hrvaška,Jadran Export,3831000000212
245,Nektarine lahko 1 l,0.76,1.2,Slovenija,Gorenje Gastro Nabava,3831000002018
246,Nektarine mini 2 kg,3.02,4.39,Španija,Domača Košara,3831000002711
247,Njoki brez glutena 250 g,1.36,1.91,Nemčija,Gorenje Gastro Nabava,3831000001790
248,Njoki naravno 500 g,4.32,5.81,Španija,AgroFresh Slovenija,3831000004197
249,"Njoki sveže 1,5 kg",6.71,8.83,Slovenija,Alpe Food d.o.o.,3831000001998
250,Olivno olje mini 12 x 1 l,8.65,12.46,Slovenija,Jadran Export,3831000002308
251,Olivno olje mini 300 g,3.07,5.05,Slovenija,Global Food Partner,3831000004807
252,"Olivno olje naravno 1,5 l",7.87,9.98,Nemčija,FreshLine Logistics,3831000003107
253,Ovseni kosmiči bio 1 kg,2.58,3.91,Italija,Mediteran Import,3831000003060
254,Ovseni kosmiči domače 2 l,2.95,3.78,Češka,Panvita Dobava,3831000000366
255,Paprika brez glutena 300 g,0.85,1.13,Poljska,Domača Košara,3831000004128
256,Paprika pakirano 300 g,3.62,4.87,Španija,Mediteran Import,3831000001929
257,Paprika premium 1 kg,2.21,2.86,Hrvaška,BioIzbor d.o.o.,3831000003626
258,Paradižnik lahko 400 g,1.74,2.57,Italija,FreshLine Logistics,3831000004524
259,Paradižnik pakirano 300 g,1.3,1.62,Španija,Gorenje Gastro Nabava,3831000003824
260,Paradižnikova omaka domače 12 x 1 l,7,9.47,Francija,Jadran Export,3831000002506
261,Paradižnikova omaka naravno 400 g,2.07,2.51,Grčija,FreshLine Logistics,3831000002100
262,Paradižnikova omaka premium 150 g,6.82,8.77,Italija,Mediteran Import,3831000000700
263,Paradižnikova omaka premium 300 g,4.66,6.49,Nemčija,VitaMarket Dobavitelj,3831000000205
264,Parmezan domače 200 g,1.61,2.56,Nizozemska,EuroTrade Foods,3831000003343
265,Parmezan družinsko 2 l,2.16,3.54,Slovenija,AgroFresh Slovenija,3831000002544
266,Parmezan sveže 150 g,4.67,6.29,Hrvaška,Gorenje Gastro Nabava,3831000000540
267,Pašteta družinsko 200 g,11.65,14.16,Slovenija,Mlečna Pot d.o.o.,3831000004838
268,Pašteta družinsko 500 g,6.68,10.91,Avstrija,FreshLine Logistics,3831000004739
269,"Pašteta mini 1,5 l",2.92,4.46,Slovenija,AgroFresh Slovenija,3831000001936
270,Pesto izbrano 300 g,7.11,10.7,Grčija,Adria Gastro,3831000003008
271,Pesto klasično 250 g,6.29,8.13,Grčija,Zlato Polje Distribucija,3831000002407
272,Pica testo domače 12 x 1 l,0.52,0.82,Slovenija,Gorenje Gastro Nabava,3831000001851
273,Pica testo tradicionalno 750 g,3.72,5.04,Avstrija,Okus Narave d.o.o.,3831000000458
274,Piščančja bedra izbrano 1 l,9.43,14.73,Nemčija,AgroFresh Slovenija,3831000003930
275,Piščančja bedra izbrano 400 g,6.33,7.67,Nemčija,Adria Gastro,3831000000137
276,Piščančja bedra klasično 1 l,4.63,7.63,Hrvaška,Pekarna Center,3831000002339
277,Piščančja bedra klasično 400 g,10.45,12.87,Avstrija,Mlečna Pot d.o.o.,3831000000335
278,Piščančja bedra naravno 1 l,12,16.89,Avstrija,Global Food Partner,3831000004135
279,Pleskavice brez glutena 250 g,3.35,4.52,Poljska,FreshLine Logistics,3831000000236
280,"Polnozrnati kruh družinsko 1,5 l",4.07,5.44,Italija,EuroTrade Foods,3831000003954
281,Polnozrnati kruh izbrano 2 l,2.68,4.34,Slovenija,Pekarna Center,3831000003350
282,Pomaranče bio 200 g,1.52,1.89,Italija,Alpina Delikates,3831000000014
283,Pomaranče brez glutena 750 g,1.06,1.73,Ekvador,Alpina Delikates,3831000001615
284,Pomaranče izbrano 12 x 1 l,3.76,5,Grčija,BioIzbor d.o.o.,3831000003510
285,Pomaranče pakirano 750 g,3.77,4.93,Turčija,Mediteran Import,3831000002315
286,Pomaranče tradicionalno 200 g,1.23,2.01,Hrvaška,Panvita Dobava,3831000000618
287,Pomarančni sok brez glutena 750 g,1.34,1.64,Madžarska,EuroTrade Foods,3831000004388
288,Pomfri ekstra 1 l,7.6,9.46,Španija,Mediteran Import,3831000004395
289,Por ekstra 300 g,2.62,3.61,Hrvaška,Okus Narave d.o.o.,3831000001523
290,Por mini 12 x 1 l,3.51,4.36,Poljska,VitaMarket Dobavitelj,3831000003121
291,Por sveže 100 g,2.42,2.91,Hrvaška,Sava Trade Foods,3831000002827
292,Prepečenec ekstra 200 g,0.86,1.4,Hrvaška,EuroTrade Foods,3831000000052
293,Proteinska ploščica brez glutena 1 l,1.1,1.73,Nemčija,Mediteran Import,3831000002674
294,Proteinska ploščica ekstra 400 g,5.02,6.82,Poljska,VitaMarket Dobavitelj,3831000000878
295,Proteinska ploščica lahko 1 kg,6.33,8.6,Belgija,Domača Košara,3831000000076
